date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:54:47	66320/66320	---M-Z	200	added ('OK')	application/octet-stream	etag:%2267e43a08-10310%22	http://cdn2.editmysite.com/fonts/Coustard/regular.ttf	G:/Weebly/weebly/cdn2.editmysite.com/fonts/Coustard/regular.ttf	(from http://cdn2.editmysite.com/fonts/Coustard/font.css?2)
14:54:47	49005/49005	---M--	200	added ('OK')	image/png	etag:%221bcf66e416fe3480afed4a15b950b5b5%22	https://armorshieldinno.weebly.com/uploads/1/5/2/4/152480530/2_1.png	G:/Weebly/weebly/armorshieldinno.weebly.com/uploads/1/5/2/4/152480530/2_1.png	(from https://armorshieldinno.weebly.com/about-us.html)
14:54:47	71283/71283	---M--	200	added ('OK')	image/png	etag:%22b60f24a4616db4cc36666d6289fb9727%22	https://armorshieldinno.weebly.com/uploads/1/5/2/4/152480530/1_1.png	G:/Weebly/weebly/armorshieldinno.weebly.com/uploads/1/5/2/4/152480530/1_1.png	(from https://armorshieldinno.weebly.com/about-us.html)
14:54:47	51821/51821	---M--	200	added ('OK')	image/png	etag:%22e45534f3020443c81fa5ab48756be66c%22	https://armorshieldinno.weebly.com/uploads/1/5/2/4/152480530/3_1.png	G:/Weebly/weebly/armorshieldinno.weebly.com/uploads/1/5/2/4/152480530/3_1.png	(from https://armorshieldinno.weebly.com/about-us.html)
14:54:48	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Mar%202025%2009:24:48%20GMT	https://armorshieldinno.weebly.com/%22/uploads/1/5/2/4/152480530/background-images/425283649.jpg%22	G:/Weebly/weebly/armorshieldinno.weebly.com/_/uploads/1/5/2/4/152480530/background-images/425283649.a6.delayed	(from https://armorshieldinno.weebly.com/about-us.html)
14:54:48	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Mar%202025%2009:24:48%20GMT	https://armorshieldinno.weebly.com/%22/uploads/1/5/2/4/152480530/background-images/1902818335.jpg%22	G:/Weebly/weebly/armorshieldinno.weebly.com/_/uploads/1/5/2/4/152480530/background-images/1902818335.jpg_	(from https://armorshieldinno.weebly.com/products.html)
14:54:49	1160968/1160968	---M--	200	added ('OK')	image/png	etag:%2267c67cb5fbdad5c119336ea3e023a22b%22	https://armorshieldinno.weebly.com/uploads/1/5/2/4/152480530/16x9-silk-warm-made-silk-derived-from_orig.png	G:/Weebly/weebly/armorshieldinno.weebly.com/uploads/1/5/2/4/152480530/16x9-silk-warm-made-silk-derived-from_orig.png	(from https://armorshieldinno.weebly.com/case-study.html)
14:54:50	2214787/2214787	---M--	200	added ('OK')	image/png	etag:%225080fd58f30fa5a749ca7c353c04cf4e%22	https://armorshieldinno.weebly.com/uploads/1/5/2/4/152480530/16x9-many-leathers-are-coated-with-n_orig.png	G:/Weebly/weebly/armorshieldinno.weebly.com/uploads/1/5/2/4/152480530/16x9-many-leathers-are-coated-with-n_orig.png	(from https://armorshieldinno.weebly.com/case-study.html)
14:54:50	1489902/1489902	---M--	200	added ('OK')	image/png	etag:%227bd1ff45440127bc74f894ba37a55c6c%22	https://armorshieldinno.weebly.com/uploads/1/5/2/4/152480530/16x9-rich-type-threads-and-wool-are-k_orig.png	G:/Weebly/weebly/armorshieldinno.weebly.com/uploads/1/5/2/4/152480530/16x9-rich-type-threads-and-wool-are-k_orig.png	(from https://armorshieldinno.weebly.com/case-study.html)
14:54:50	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Mar%202025%2009:24:50%20GMT	https://armorshieldinno.weebly.com/%22/uploads/1/5/2/4/152480530/background-images/301274766.jpg%22	G:/Weebly/weebly/armorshieldinno.weebly.com/_/uploads/1/5/2/4/152480530/background-images/301274766.jpg_	(from https://armorshieldinno.weebly.com/case-study.html)
14:54:50	140252/140252	---M--	200	added ('OK')	image/png	etag:%22c3a52337f9f8dc05d75976d1b5ffe3bc%22	https://armorshieldinno.weebly.com/uploads/1/5/2/4/152480530/armorlogo_2.png	G:/Weebly/weebly/armorshieldinno.weebly.com/uploads/1/5/2/4/152480530/armorlogo_2.png	(from https://armorshieldinno.weebly.com/case-study.html)
14:54:50	1257145/1257145	---M--	200	added ('OK')	image/png	etag:%2297c491fb096ef15827db31c4f8033b21%22	https://armorshieldinno.weebly.com/uploads/1/5/2/4/152480530/16x9-silkworms-silks-on-the-brown-bas.png	G:/Weebly/weebly/armorshieldinno.weebly.com/uploads/1/5/2/4/152480530/16x9-silkworms-silks-on-the-brown-bas.png	(from https://armorshieldinno.weebly.com/silk-project.html)
14:54:51	824058/824058	---M--	200	added ('OK')	image/png	etag:%2215eccc1476136bb1fc1ab6375bd35e64%22	https://armorshieldinno.weebly.com/uploads/1/5/2/4/152480530/16x9-non-toxic-solution-for-a-health.png	G:/Weebly/weebly/armorshieldinno.weebly.com/uploads/1/5/2/4/152480530/16x9-non-toxic-solution-for-a-health.png	(from https://armorshieldinno.weebly.com/silk-project.html)
14:54:51	1103220/1103220	---M--	200	added ('OK')	image/png	etag:%22d700f7402f22af29e5237dc18b5e3a81%22	https://armorshieldinno.weebly.com/uploads/1/5/2/4/152480530/16x9-to-protecting-a-human-skin-from.png	G:/Weebly/weebly/armorshieldinno.weebly.com/uploads/1/5/2/4/152480530/16x9-to-protecting-a-human-skin-from.png	(from https://armorshieldinno.weebly.com/silk-project.html)
14:54:52	140252/140252	---M--	200	added ('OK')	image/png	etag:%22c3a52337f9f8dc05d75976d1b5ffe3bc%22	https://armorshieldinno.weebly.com/uploads/1/5/2/4/152480530/armorlogo_4.png	G:/Weebly/weebly/armorshieldinno.weebly.com/uploads/1/5/2/4/152480530/armorlogo_4.png	(from https://armorshieldinno.weebly.com/silk-project.html)
14:54:52	983146/983146	---M--	200	added ('OK')	image/png	etag:%227e9f4eb2cf34835b7837bfcbf0caa407%22	https://armorshieldinno.weebly.com/uploads/1/5/2/4/152480530/16x9-excellent-binding-stability-with-3.png	G:/Weebly/weebly/armorshieldinno.weebly.com/uploads/1/5/2/4/152480530/16x9-excellent-binding-stability-with-3.png	(from https://armorshieldinno.weebly.com/silk-project.html)
